Local code,Reagent name,CAS number,Chemical category,Location,Observation,Available quantity,Total quantity,Container size
A-41,ACIDO CIANOACETICO,372-09-8,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,16.50 g,50 g,Mediano
A-42,ACIDO (2-BROMOMETIL)BENZOICO,7115-89-1,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,4.95 g,10 g,Pequeño
A-43,ÀCIDO ASCORBICO,50-81-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,247.50 g,500 g,Grande
A-43,ÀCIDO ASCORBICO,50-81-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,22.50 g,100 g,Mediano
A-44,EOSINA AZUL,548-24-3,Ácidos orgánicos,ESTANTE MADERA GRANDE,No tiene etiquetado,11.88 g,50 g,Pequeño
A-45,L-FENILALANINA,63-91-2,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,45.00 g,100 g,Mediano
A-46,ACIDO METACRILICO,79-41-4,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,183.33 g,500 g,Muy grande
A-47,ACIDO SALICILICO,69-72-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,Es una bolsa plástica abierta de Legaquímicos.,0.49 lb,1 lb,Mediano
A-48,ACIDO TANICO,1401-55-4,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,165.00 g,250 g,Grande
A-49,"ACIDO NAFTALENO-1,4-DICARBOXILICO",605-70-9,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,13.75 g,25 g,Pequeño-medio
A-5,ACIDO SULFANILICO,121-57-3,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,82.50 g,100 g,Mediano
A-50,ACIDO 4-HIDROXIBENZOICO,99-96-7,Ácidos orgánicos,ESTANTE MADERA GRANDE,Reactivo nuevo,250 g,250 g,Grande
A-51,"ACIDO 2,2-BIS(HIDROXIMETIL)PROPIONICO",07-03-67,Ácidos orgánicos,ESTANTE METALICO CASILLERO,NULL,0 g,250 g,Grande
A-6,ACIDO-4-BROMOBENZOICO,586-76-5,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,8.25 g,25 g,Mediano
A-6,ACIDO-4-BROMOBENZOICO,586-76-5,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,8.25 g,25 g,Mediano
A-7,"ACIDO-1,3,5-BENCENTRICARBOXILICO",554-95-0,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,0.49 g,5 g,Pequeño
A-7,"ACIDO-1,3,5-BENCENTRICARBOXILICO",554-95-0,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Medio-grande
A-8,ACIDO-4-TOLUENSULFONICO,6192-52-5,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,100 g,100 g,Mediano
A-9,ACIDO TEREFTALICO,100-21-0,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,18.56 g,25 g,Pequeño
A-9,ACIDO TEREFTALICO,100-21-0,Ácidos orgánicos,ESTANTE MADERA GRANDE,NULL,24.75 g,100 g,Mediano
Ag-01,PLATA COLOIDAL,87370-84-1,Compuestos de plata,ESTANTE MADERA GRANDE,NULL,150 g,150 g,Mediano
Ag-02,SULFATO DE PLATA,10294-26-5,Compuestos de plata,ESTANTE MADERA GRANDE,NULL,33.00 g,100 g,Mediano
Ag-03,NITRATO DE PLATA,7761-88-8,Compuestos de plata,ESTANTE MADERA GRANDE,NULL,123.75 g,250 g,Grande
Ag-04,NITRITO DE PLATA,7783-99-5,Compuestos de plata,ESTANTE METALICO BAJO LLAVE,El frasco está dentro de una bolsa sellable.,3.00 g,10 g,Pequeño
AI-1,ACIDO ACETICO GLACIAL,64-19-7,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Muy grande
AI-1,ACIDO ACETICO GLACIAL,64-19-7,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Muy grande
AI-1,ACIDO ACETICO GLACIAL,64-19-7,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Gigante
AI-1,ACIDO ACETICO GLACIAL,64-19-7,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,1 L,1 L,Grande
AI-10,ACIDO SULFURICO 98%,7664-93-9,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Muy grande
AI-10,ACIDO SULFURICO 98%,7664-93-9,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,1 L,1 L,Grande
AI-2,ACIDO NITRICO 65%,7697-37-2,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Muy grande
AI-3,ACIDO BROMHIDRICO 48%,10035-10-6,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,El frasco no. 1 tiene las etiquetas deterioradas.,1 L,1 L,Grande
AI-3,ACIDO BROMHIDRICO 48%,10035-10-6,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,El frasco no. 1 tiene las etiquetas deterioradas.,1 L,1 L,Grande
AI-4,ACIDO TRIFLUOROACETICO,76-05-1,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Gigante
AI-5,ACIDO CLORHIDRICO 37%,7647-01-0,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Gigante
AI-5,ACIDO CLORHIDRICO 37%,7647-01-0,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Gigante
AI-5,ACIDO CLORHIDRICO 37%,7647-01-0,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Gigante
AI-5,ACIDO CLORHIDRICO 37%,7647-01-0,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,1 L,1 L,Muy grande
AI-6,ACIDO FOSFORICO,7664-38-2,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,2.5 L,2.5 L,Gigante
AI-7,ACIDO MERCAPTOACETICO,68-11-1*,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,El frasco viene dentro de una bolsa para mayor seguridad.,500 g,500 g,Grande
AI-8,ACIDO FLUORHIDRICO,7664-39-3,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,1 L,1 L,Grande
AI-9,ACIDO PERCLORICO,7601-90-3,Ácidos inorgánicos,GAVETA BAJO ROTAEVAPORADOR,NULL,250 mL,250 mL,Medio-grande
Al-01,ALUMINIO EN VIRUTAS,7429-90-5,Compuestos de alumino,ESTANTE MADERA GRANDE,NULL,300 g,300 g,Grande
Al-02,CLORURO DE ALUMINIO(III),7446-70-0,Compuestos de alumino,ESTANTE MADERA GRANDE,NULL,165.00 g,500 g,Grande
Al-11,ACIDO TETRAFLUOROBORICO 48%,16872-11,Compuestos de alumino,GAVETA BAJO ROTAEVAPORADOR,El frasco viene dentro de una bolsa para mayor seguridad.,500 g,500 g,Grande
B-1,P-AMINOFENOL,123-30-8,Aminas,ESTANTE MADERA PEQUEÑO,NULL,206.25 g,250 g,Grande
B-1,P-AMINOFENOL,123-30-8,Aminas,ESTANTE MADERA PEQUEÑO,NULL,78 g,100 g,Mediano
B-10,DIFENILAMINA,122-39-4,Aminas,ESTANTE METALICO,NULL,70.00 g,100 g,Medio-grande
B-100,TERTBUTILAMINA,75-64-9,Aminas,ESTANTE METALICO,NULL,366.67 mL,500 mL,Grande
B-101,N-METILANILINA,	100-61-8,Aminas,ESTANTE METALICO,NULL,1 L,1 L,Muy grande
B-11,O-TOLUIDINA,95-53-4,Aminas,ESTANTE METALICO,NULL,45.00 g,100 g,Medio-grande
B-11,O-TOLUIDINA,95-53-4,Aminas,ESTANTE METALICO,NULL,500 mL,500 mL,Grande
B-12,P-BROMOACETANILIDA,103-88-8,Aminas,ESTANTE METALICO,Empacado en un frasco ámbar sin etiquetas.,13.75 g,25 g,Pequeño
B-13,P-AMINOANTIPIRINA,83-07-8,Aminas,ESTANTE METALICO,NULL,1.80 g,50 g,Mediano
B-14,"5,5-DIFENIL-2,4-IMIDAZOLIDINEDIONA",57-41-0,Aminas,ESTANTE METALICO,NULL,22.00 g,25 g,Mediano
B-15,2-YODOANILINA,615-43-0,Aminas,ESTANTE METALICO,NULL,25 g,25 g,Pequeño-medio
B-16,CLOROAMINA TRIHIDRATADA,7080-50-4,Aminas,ESTANTE METALICO,Empacado en un frasco ámbar sin etiquetas.,45.00 g,150 g,Grande
B-17,4-BROMOANILINA,106-40-1,Aminas,ESTANTE METALICO,NULL,49.50 g,100 g,Mediano
B-18,"2,6-DIBROMOPIRIDINA",626-05-1,Aminas,ESTANTE METALICO,NULL,45.00 g,100 g,Grande
B-19,"1,8-DIAMINONAFTALENO",479-27-6,Aminas,ESTANTE METALICO,NULL,3.30 g,5 g,Pequeño
B-19,"1,8-DIAMINONAFTALENO",479-27-6,Aminas,ESTANTE METALICO,NULL,24.75 g,50 g,Mediano
B-2,IMIDAZOL,288-32-4,Aminas,ESTANTE MADERA PEQUEÑO,NULL,0.75 kg,1 kg,Grande
B-2,IMIDAZOL,288-32-4,Aminas,ESTANTE MADERA PEQUEÑO,NULL,49.50 g,100 g,Grande
B-2,IMIDAZOL,288-32-4,Aminas,ESTANTE MADERA PEQUEÑO,NULL,73.33 g,100 g,Grande
B-2,IMIDAZOL,288-32-4,Aminas,ESTANTE MADERA PEQUEÑO,NULL,66.00 g,100 g,Grande
B-21,TRIS(NONAFLUOROBUTIL)AMINO,93792-84-8,Aminas,ESTANTE METALICO,NULL,10 mL,10 mL,Pequeño
B-22,DIMETILGLIOXIMA,95-45-4,Aminas,ESTANTE METALICO,NULL,100 g,100 g,Mediano
B-23,"N-CETIL- N,N,N-TRIMETILAMONIO BROMURO (CTAB)",57-09-0 ,Aminas,ESTANTE METALICO,NULL,19.80 g,100 g,Mediano
B-24,P-FENITIDINA,156-43-4,Aminas,ESTANTE METALICO,NULL,393.75 mL,500 mL,Grande
B-25,"1,3-DIFENILGUANIDINA",1002-06-7,Aminas,ESTANTE METALICO,Etiquetas deterioradas.,82.50 g,100 g,Mediano
B-27,"DIHIDROCLORURO 1,6-HEXANODIAMINA",6055-52-3,Aminas,ESTANTE METALICO,NULL,66.00 g,100 g,Grande
B-28,1-NAFTILAMINA,134-32-7,Aminas,ESTANTE METALICO,NULL,74.25 g,100 g,Mediano
B-29,DIHIDROPIRIDINA,3337-17-5,Aminas,ESTANTE METALICO,NULL,12.38 g,25 g,Pequeño-medio
B-3,2-CLOROANILINA,95-51-2,Aminas,ESTANTE MADERA PEQUEÑO,NULL,50 g,50 g,Pequeño-medio
B-3,2-CLOROANILINA,95-51-2,Aminas,ESTANTE MADERA PEQUEÑO,NULL,10 g,25 g,Pequeño
B-30,CALCEINA,1461-15-0,Aminas,ESTANTE METALICO,NULL,0.20 g,1 g,Pequeño-medio
B-31,O-ANISIDINA,90-04-0,Aminas,ESTANTE METALICO,La etiqueta está muy vieja.,100 g,100 g,Mediano
B-32,MORFOLINA,110-91-8,Aminas,ESTANTE METALICO,Envasado en un frasco ámbar sin etiquetas oficiales.,39.38 g,150 g,Mediano
B-33,"4,4'-DIAMINODIFENILSULFONA",80-08-0,Aminas,ESTANTE METALICO,NULL,16.50 g,25 g,Mediano
B-34,2-BROMOPIRIDINA,109-04-6,Aminas,ESTANTE METALICO,NULL,47.50 g,100 g,Medio-grande
B-35,TEOFILINA ANHIDRA,58-55-9,Aminas,ESTANTE METALICO,NULL,24.75 g,50 g,Mediano
B-36,2-NITROANILINA,88-74-4,Aminas,ESTANTE METALICO,NULL,0.47 kg,1 kg,Gigante
B-37,P-ANISIDINA,104-94-4,Aminas,ESTANTE METALICO,NULL,52.50 g,100 g,Grande
B-38,N-ETILDIISOPROPILAMINA,7087-68-5,Aminas,ESTANTE METALICO,Datos de nombre y cantidad de reactivo no se aprecian bien en la etiqueta.,0.79 L,1 L,Muy grande
B-39,P-TOLUIDINA,106-49-0,Aminas,ESTANTE METALICO,NULL,73.33 g,100 g,Grande
B-4,3-BROMOPIRIDINA,626-55-1,Aminas,ESTANTE METALICO,NULL,33.00 g,100 g,Mediano
B-40,PIPERAZINA HEXAHIDRATO,142-63-2,Aminas,ESTANTE METALICO,"Frasco ámbar sin etiquetas, manifiesta ser del 29/1/92, muy viejo.",15.83 g,50 g,Mediano
B-41,P-DIMETILAMINOAZOBENCENO,60-11-7,Aminas,ESTANTE METALICO,NULL,100 g,100 g,Mediano
B-43,N-METILPIPERAZINA,109-01-3,Aminas,ESTANTE METALICO,Envasado en un frasco ámbar sin etiquetas oficiales.,8.25 mL,50 mL,Mediano
B-44,ANILINA,62-53-3,Aminas,ESTANTE METALICO,NULL,0.66 L,1 L,Muy grande
B-45,N-BUTILANILINA,100-61-8,Aminas,ESTANTE METALICO,NULL,393.75 mL,500 mL,Grande
B-47,3-CLOROANILINA,108-42-9,Aminas,ESTANTE METALICO,Está empacado en un frasco ámbar con etiquetas viejas.,100 mL,100 mL,Mediano
B-48,N-(1-NAFTIL)-ETILENDIAMINA DICLORHIDRATO,1465-25-4,Aminas,ESTANTE METALICO,NULL,18.33 g,25 g,Mediano
B-49,PIRIDINA,85404-20-2,Aminas,ESTANTE METALICO,NULL,500 mL,500 mL,Grande
B-49,PIRIDINA,85404-20-2,Aminas,ESTANTE METALICO,NULL,1 L,1 L,Muy grande
B-49,PIRIDINA,85404-20-2,Aminas,ESTANTE METALICO,NULL,458.33 mL,500 mL,Grande
B-49,PIRIDINA,85404-20-2,Aminas,ESTANTE METALICO,NULL,75.00 mL,500 mL,Grande
B-49,PIRIDINA,85404-20-2,Aminas,ESTANTE METALICO,NULL,30.00 mL,500 mL,Grande
B-49,PIRIDINA,85404-20-2,Aminas,ESTANTE METALICO,NULL,22.50 mL,500 mL,Grande
B-49,PIRIDINA,85404-20-2,Aminas,ESTANTE METALICO,NULL,500 mL,500 mL,Grande
B-5,4-NITROANILINA,100-01-6,Aminas,ESTANTE METALICO,NULL,15.83 g,50 g,Mediano
B-50,M-ANISIDINA,536-90-3,Aminas,ESTANTE METALICO,El frasco viene dentro de una bolsa plástica.,100 mL,100 mL,Mediano
B-51,2-PICOLINA,109-06-8,Aminas,ESTANTE METALICO,NULL,1 L,1 L,Muy grande
B-52,3-PICOLINA,108-99-6,Aminas,ESTANTE METALICO,NULL,1 L,1 L,Muy grande
B-53,PIRROL,109-97-7,Aminas,ESTANTE METALICO,NULL,137.50 mL,250 mL,Mediano
B-53,PIRROL,109-97-7,Aminas,ESTANTE METALICO,NULL,55.00 mL,100 mL,Mediano
B-55,1-BENCIL-4-PIPERIDINONA,3612-20-2,Aminas,ESTANTE METALICO,NULL,50 mL,50 mL,Mediano
B-56,BENCILAMINA,100-96-9,Aminas,ESTANTE METALICO,Empacado en un frasco ámbar con etiqueta vieja.,24.75 mL,50 mL,Mediano
B-57,ETILENDIAMONIO DICLORURO,333-18-6,Aminas,ESTANTE METALICO,NULL,137.50 g,250 g,Grande
B-58,MONOETANOLAMINA,141-43-5,Aminas,ESTANTE METALICO,NULL,783.75 mL,950 mL,Muy grande
B-59,HIDRAZIDA BENZOICA,613-94-5,Aminas,ESTANTE METALICO,NULL,12.38 g,25 g,Mediano
B-6,BENCIDINA,92-87-5,Aminas,ESTANTE METALICO,No tiene etiquetas oficiales.,70.00 g,100 g,Medio-grande
B-6,BENCIDINA,92-87-5,Aminas,ESTANTE METALICO,No tiene etiquetas oficiales.,78.75 g,100 g,Medio-grande
B-60,YODURO DE TETRABUTILAMONIO,311-28-4,Aminas,ESTANTE METALICO,NULL,49.50 g,100 g,Medio-grande
B-61,N-ETILENDIISOPROPILAMINA,7087-68-5*,Aminas,ESTANTE METALICO,NULL,112.50 mL,250 mL,Medio-grande
B-62,PIPERIDINA,110-89-4,Aminas,ESTANTE METALICO,NULL,0 mL,500 mL,Grande 
B-63,3-BROMOANILINA,591-19-5,Aminas,ESTANTE METALICO,NULL,8.25 g,25 g,Pequeño-medio
B-63,3-BROMOANILINA,591-19-5,Aminas,ESTANTE METALICO,NULL,8.25 g,25 g,Pequeño-medio
B-64,TRIETANOLAMINA,102-71-6,Aminas,ESTANTE METALICO,Etiqueta deteriorada.,0.55 L,1 L,Grande
B-65,N-ETILPIPERIDINA,766-09-6,Aminas,ESTANTE METALICO,Etiqueta deteriorada.,11.25 mL,50 mL,Mediano
B-66,O-TOLIDINA HIDROCLORURO,7563-59-9,Aminas,ESTANTE METALICO,"No se aprecia el nombre del compuesto con claridad, la etiqueta está un poco dañada.",52.50 g,100 g,Mediano
B-67,"4-NITRO-1,2-FENILENDIAMINA",99-56-9,Aminas,ESTANTE METALICO,NULL,63.33 g,100 g,Medio-grande
B-68,"2,5-DIBROMOPIRIDINA",624-28-2,Aminas,ESTANTE METALICO,NULL,4.50 g,10 g,Muy pequeño
B-69,"2,4-DICLOROANILINA",554-00-7,Aminas,ESTANTE METALICO,NULL,0.90 g,5 g,Muy pequeño
B-7,HEXAMETILENDIAMINA,124-09-4,Aminas,ESTANTE METALICO,NULL,0.74 kg,1 kg,Gigante
B-71,AMONIACO,7664-41-7,Aminas,ESTANTE METALICO,Botella sin etiquetas oficiales.,0.38 L,2.5 L,Gigante
B-72,N-ACETILGLICINA,543-24-8,Aminas,ESTANTE METALICO,NULL,500 g,500 g,Grande 
B-73,HIDROXIDO DE AMONIO INDUSTRIAL ,1336-21-6,Aminas,ESTANTE METALICO,NULL,1.31 L,2.5 L,Gigante
B-74,"N,N,N’,N’-TETRAMETILETILEDIAMINA",110-18-9,Aminas,ESTANTE METALICO,NULL,275.00 mL,500 mL,Grande
B-75,2-AMINOACETOFENONA,5468-37-1 ,Aminas,ESTANTE METALICO,NULL,10 g,10 g,Pequeño
B-76,4-CLOROANILINA,106-47-8,Aminas,ESTANTE METALICO,NULL,49.50 g,100 g,Mediano
B-77,1-NAFTILAMINA,134-32-7*,Aminas,ESTANTE METALICO,Etiquetas deterioradas.,12.38 g,50 g,Pequeño-medio
B-77,1-NAFTILAMINA,134-32-7*,Aminas,ESTANTE METALICO,Etiquetas deterioradas.,100 g,100 g,Grande
B-78,CLORURO DE HIDROXILAMONIO,01-11-70,Aminas,ESTANTE METALICO,NULL,79.17 g,250 g,Grande
B-78,CLORURO DE HIDROXILAMONIO,01-11-70,Aminas,ESTANTE METALICO,NULL,250 g,250 g,Medio-grande
B-79,DIHIDROCLORURO DE HIDRACINA,5341-61-7,Aminas,ESTANTE METALICO,NULL,33.00 g,100 g,Medio-grande
B-8,"N,N-DIMETIL-1,4-FENILENDIAMINA",536-46-9,Aminas,ESTANTE METALICO,NULL,82.50 g,100 g,Mediano
B-8,"N,N-DIMETIL-1,4-FENILENDIAMINA",536-46-9,Aminas,ESTANTE METALICO,NULL,47.50 g,100 g,Mediano
B-80,SULFATO DE HIDROXILAMINA,10039-54-0,Aminas,ESTANTE METALICO,NULL,500 g,500 g,Grande
B-81,TEOBROMINA,83-67-0,Aminas,ESTANTE METALICO,NULL,12.38 g,25 g,Pequeño-medio
B-82,"5-AMINO-2,3-DIHIDRO-1,4-FTAL-AZINADIONA (LUMINOL)",521-31-3,Aminas,ESTANTE METALICO,NULL,0 g,1 g,Pequeño
B-82,"5-AMINO-2,3-DIHIDRO-1,4-FTAL-AZINADIONA (LUMINOL)",521-31-3,Aminas,ESTANTE METALICO,NULL,1.19 g,5 g,Pequeño
B-82,"5-AMINO-2,3-DIHIDRO-1,4-FTAL-AZINADIONA (LUMINOL)",521-31-3,Aminas,ESTANTE METALICO,NULL,0.15 g,1 g,Pequeño
B-84,"1,8-BIS(DIMETILAMINO)NAFTALENO (ESPONJA DE PROTONES)",20734-58-1,Aminas,ESTANTE METALICO,NULL,2.38 g,10 g,Mediano
B-85,RODAMINA 6G,989-38-8,Aminas,ESTANTE METALICO,NULL,0.45 g,2 g,Pequeño-medio
B-86,CLORURO DE DIMETILAMONIO,506-59-2,Aminas,ESTANTE METALICO,NULL,0.74 kg,1 kg,Muy grande
B-87,HEXAMETILENTETRAMINA,100-97-0,Aminas,ESTANTE METALICO,NULL,330.00 g,500 g,Grande
B-87,HEXAMETILENTETRAMINA,100-97-0,Aminas,ESTANTE METALICO,NULL,366.67 g,500 g,Grande
B-88,2-(ETILAMINO)ETANOL,110-73-6,Aminas,ESTANTE METALICO,NULL,250 mL,250 mL,Medio-grande
B-89,"N,N-DIMETILANILINA",121-69-7,Aminas,ESTANTE METALICO,Envasado en frasco ámbar sin etiquetas.,29.33 mL,80 mL,Mediano
B-9,"1,4-FENILENDIAMINA",106-50-3,Aminas,ESTANTE METALICO,NULL,49.50 g,100 g,Mediano
B-90,PENTAMETILDIETILENTRIAMINA,3030-47-5,Aminas,ESTANTE METALICO BAJO LLAVE,NULL,131.25 mL,250 mL,Grande
B-90,PENTAMETILDIETILENTRIAMINA,3030-47-5,Aminas,ESTANTE METALICO BAJO LLAVE,NULL,131.25 mL,250 mL,Grande
B-91,AZUL DE TOLUIDINA,92-31-9,Aminas,ESTANTE METALICO,NULL,16.50 g,25 g,Mediano
B-92,"1,4-DIAZABICICLO[2.2.2]OCTANO",280-57-9,Aminas,DESECADOR DE VIDRIO,NULL,52.50 g,100 g,Medio-grande
B-92,"1,4-DIAZABICICLO[2.2.2]OCTANO",280-57-9,Aminas,DESECADOR DE VIDRIO,NULL,52.50 g,100 g,Medio-grande
B-93,"2,3,5,6-TETRAMETILPIRAZINA",1124-11-4,Aminas,ESTANTE METALICO,NULL,8.25 g,25 g,Mediano
B-93,"2,3,5,6-TETRAMETILPIRAZINA",1124-11-4,Aminas,ESTANTE METALICO,NULL,18.56 g,25 g,Mediano
B-94,4-AMINOBENZONITRILO,873-74-5,Aminas,ESTANTE METALICO,NULL,1.90 g,10 g,Mediano
B-95,"2,6-DIAMINOANTRAQUINONA",131-14-6,Aminas,ESTANTE METALICO,NULL,33.00 g,100 g,Grande
B-96,METILAMINA,	74-89-5,Aminas,ESTANTE METALICO,NULL,0.82 L,1 L,Grande
